show_id;c_id;first_name;last_name;gender;Age;Country;membership_date;movie_point;device;Enter_Time;Days
s2602;00-1792130;Nobe;Leathe;Male;52;Guatemala;1/23/2011;5;Mobile;08:54;Sunday
s3716;00-1830166;Peta;Gosson;Female;40;South Sudan;6.02.2007;5;PC;19:59;Sunday
s5224;00-1861400;Ninnette;Batter;Male;52;Bhutan;2.04.2008;3;TV;22:45;Wednesday
s6628;00-1877605;Bibbie;Matteoli;Male;37;Madagascar;5.05.2008;5;TV;00:57;Thursday
s5234;00-1892609;Averell;Paintain;Female;65;India;1.02.2013;5;TV;02:28;Tuesday
s8458;00-1954462;Marcel;Fowkes;Male;31;Namibia;7/20/2008;;Tablet;21:47;Monday
s7902;00-1957612;Artus;Cawcutt;Female;38;Paraguay;7.08.2005;3;Mobile;06:12;Friday
s2988;00-2010536;Emili;Cowl;Male;59;El Salvador;7/30/2009;;PC;10:01;Wednesday
s8594;00-2209303;Edeline;Painten;Male;73;Tuvalu;1/17/2011;5;Mobile;18:49;Saturday
s7403;00-2228674;Meggi;Mc Ilory;Male;57;Mali;11/30/2005;;PC;03:51;Sunday
s7749;00-2229651;Giordano;Muckian;Female;78;Indonesia;4.11.2004;;PC;10:57;Friday
s166;00-2260658;Nickolas;Coopey;Male;52;Serbia;1.02.2001;;PC;00:38;Thursday
s4854;00-2301130;Corrina;Blooman;Female;47;Greece;7/28/2013;5;PC;19:17;Thursday
s7889;00-2334565;Odey;Brough;Male;24;Armenia;8/27/2011;5;TV;18:27;Thursday
s5718;00-2367299;Lenka;Astridge;Male;47;Tuvalu;8/13/2019;3;Tablet;07:10;Monday
s1473;00-2509034;Gunar;Dinkin;Male;70;Tunisia;12/19/2017;4;Tablet;21:25;Tuesday
s7566;00-2607971;Gale;Dreossi;Male;27;Kuwait;2.02.2006;2;TV;08:11;Friday
s4579;00-2623755;Chrysa;Brownell;Male;34;Chad;2/22/2018;5;PC;20:24;Monday
s5396;00-2637590;Britte;Royds;Male;76;Syria;5.05.2016;5;TV;19:49;Tuesday
s3132;00-2682864;Bil;Wanden;Male;25;Yemen;2/24/2009;3;Tablet;15:51;Thursday
s5453;00-2704725;Ronda;Dictus;Female;30;Guyana;12.07.2003;3;Tablet;06:47;Monday
s5270;00-2709445;Loree;Neno;Female;72;San Marino;4/26/2017;;TV;04:54;Wednesday
s1802;00-2773154;Teena;Tolan;Male;24;Chile;2.11.2014;1;Tablet;19:40;Wednesday
s1844;00-2861998;Karine;Seage;Male;42;Thailand;8.12.2017;3;Tablet;20:39;Monday
s3637;00-2874422;Diandra;Bourget;Male;26;Bosnia and Herzegovina;7/26/2003;2;Mobile;19:22;Wednesday
s2516;00-2889513;Dodi;Caves;Male;44;Portugal;11/16/2004;4;Tablet;02:38;Thursday
s7440;00-2950779;Hyman;Dancey;Female;28;Uruguay;6.10.2015;5;PC;05:51;Wednesday
s639;00-3008455;Rourke;Dawkins;Male;28;Latvia;10/28/2007;5;Mobile;18:49;Friday
s3952;00-3020430;Northrup;Arendt;Male;66;Liberia;9.06.2011;4;Mobile;05:04;Tuesday
s7985;00-3030708;Guntar;Arro;Female;23;Senegal;11/16/2020;;Mobile;20:28;Friday
s8751;00-3052411;Midge;Orpyne;Female;52;Lesotho;7/21/2010;4;PC;07:46;Sunday
s7718;00-3105004;Isador;Crady;Female;60;Iraq;11/19/2020;5;PC;05:43;Sunday
s5100;00-3135807;Nichol;Dionisii;Female;25;Netherlands;2/19/2017;5;TV;00:21;Saturday
s8448;00-3138749;Dorey;Diperaus;Male;23;Serbia;4.06.2006;1;Tablet;18:35;Saturday
s5469;00-3208324;Lanie;Plewes;Female;63;Uruguay;3.01.2008;3;Mobile;20:00;Friday
s5317;00-3214670;Mahmoud;De L'Isle;Male;24;Georgia;3.06.2010;;Tablet;02:01;Friday
s3863;00-3217869;Carlynne;Gouldthorpe;Female;37;Ivory Coast;8/17/2009;2;TV;09:14;Tuesday
s6903;00-3334414;Modesta;Lanktree;Female;72;Fiji;4/30/2002;2;TV;23:49;Wednesday
s7381;00-3341718;Tildie;Ranvoise;Male;48;Moldova;8/21/2007;3;PC;03:03;Wednesday
s7663;00-3389894;Tallulah;Dowty;Male;58;Mali;2.02.2006;5;Mobile;20:00;Wednesday
s2984;00-3402094;Addie;Coldman;Female;65;Malawi;9/25/2011;4;PC;17:01;Saturday
s5457;00-3457300;Eleanore;Pudner;Female;26;Russia;2/28/2002;4;PC;05:55;Monday
s6501;00-3492248;Carlene;Goldwater;Female;30;Israel;2/25/2019;3;TV;22:30;Sunday
s455;00-3597335;Amara;Jacobs;Male;35;Latvia;2.07.2006;4;Mobile;06:25;Monday
s6891;00-3679205;Heall;Conville;Male;31;Papua New Guinea;11.12.2010;5;TV;22:57;Thursday
s8676;00-3739286;Jake;Dawdry;Male;53;France;9/30/2019;3;TV;03:54;Tuesday
s4259;00-3744044;Maribelle;Bisson;Female;79;Peru;1/21/2016;;PC;13:51;Wednesday
s6701;00-3758963;Calypso;Connold;Female;54;Malawi;11/22/2001;4;Tablet;02:04;Sunday
s8607;00-3855769;Tanitansy;Fancett;Female;52;San Marino;10/31/2005;4;PC;00:49;Thursday
s2068;00-3860994;Allyce;Giacobazzi;Male;33;Grenada;12/27/2019;;TV;11:00;Sunday
s3592;00-3961040;Filberte;Morant;Male;76;Barbados;3.06.2002;1;Mobile;07:53;Saturday
s1419;00-3964552;Sergei;Glidden;Male;25;Dominica;11.04.2016;3;Mobile;11:00;Tuesday
s2616;00-3987484;Chelsy;Clacey;Female;52;Romania;1/30/2006;3;PC;20:46;Monday
s3349;00-4123013;Romy;Sandever;Male;48;Belarus;8.12.2011;3;TV;16:13;Saturday
s1772;00-4202411;Rorie;Rice;Male;56;Honduras;7/16/2014;3;Tablet;08:03;Monday
s1395;00-4254147;Karel;Gullen;Male;56;Cabo Verde;3.08.2013;2;TV;16:19;Sunday
s2211;00-4259069;Marcela;Bostock;Male;48;Ireland;1.01.2005;4;PC;15:10;Sunday
s2473;00-4464648;Agretha;Brunning;Female;69;Andorra;4/28/2017;;Mobile;23:25;Wednesday
s6790;00-4481784;Willdon;Pirozzi;Female;32;France;3.12.2016;3;TV;23:43;Friday
s7099;00-4521988;Paddie;Mallebone;Male;54;Venezuela;7.04.2016;1;Tablet;05:02;Monday
s5099;00-4585118;Karina;Slocum;Female;32;Ecuador;12/23/2018;;TV;05:28;Saturday
s2659;00-4609499;Gun;Heathorn;Male;51;Saint Vincent;12/25/2015;1;TV;13:01;Thursday
s2536;00-4634919;Dario;Renshall;Female;32;Yemen;4.10.2011;2;TV;17:40;Wednesday
s5214;00-4767568;Bartholemy;Schutter;Male;44;India;7.06.2009;1;PC;07:33;Friday
s6559;00-4872960;Gamaliel;McRoberts;Male;67;United Kingdom;12/30/2019;5;Mobile;21:45;Friday
s3466;00-4890880;Demetre;Chaulk;Male;40;Peru;3.05.2014;3;Mobile;03:56;Saturday
s1263;00-4971801;Temple;Banasevich;Female;49;Afghanistan;10.11.2020;;Tablet;17:44;Friday
s4608;00-5033764;Gabie;Olivier;Male;45;Senegal;6/23/2005;1;Mobile;04:48;Sunday
s6711;00-5045552;Carlen;Bruhnke;Male;27;Croatia;7/18/2016;;Tablet;02:57;Monday
s5951;00-5070457;Nathaniel;Coolahan;Female;44;Maldives;7/22/2003;2;TV;18:02;Friday
s7807;00-5137192;Sarajane;Price;Male;31;Cuba;5/24/2016;3;PC;13:06;Sunday
s8578;00-5155617;Hadria;Pallasch;Male;49;Chad;12.02.2016;5;Mobile;08:32;Sunday
s3671;00-5175297;Bethina;Mathissen;Female;26;Kiribati;12/23/2001;3;TV;23:22;Friday
s8050;00-5221572;Joshua;Rubinsohn;Male;52;India;7.12.2006;;TV;04:16;Thursday
s3198;00-5273292;Philippa;Garrod;Female;52;Serbia;3/29/2012;5;Tablet;03:30;Tuesday
s3550;00-5421994;Sile;Schultheiss;Female;47;Malta;12.10.2012;;TV;08:00;Friday
s113;00-5614221;Conroy;Vickars;Male;50;United States;1.03.2008;;TV;14:33;Friday
s1942;00-5623981;Roscoe;Swindells;Female;61;Ethiopia;12/22/2012;4;Mobile;18:06;Thursday
s5346;00-5649238;Antonietta;Obal;Male;27;Dominica;2/13/2003;5;Tablet;08:35;Sunday
s7457;00-5687686;Yettie;Swanborough;Male;23;Eritrea;3/22/2001;;TV;08:48;Sunday
s6884;00-5880378;Dannie;Thornton-Dewhirst;Female;78;Malawi;12.12.2002;4;Mobile;11:57;Wednesday
s1986;00-5895027;Nessy;Shute;Male;70;Latvia;4/13/2004;4;Mobile;03:41;Monday
s5120;00-5909899;Louise;Domingues;Male;23;Burundi;4.05.2014;3;Mobile;03:21;Wednesday
s403;00-5917185;Frasquito;Frape;Male;48;Canada;6/29/2002;5;Mobile;12:56;Wednesday
s4232;00-5955583;Leonie;Bridgeman;Male;21;Armenia;4.11.2009;;Mobile;21:08;Thursday
s2627;00-5958157;Marijn;Shotboulte;Male;31;Netherlands;9/16/2017;4;Tablet;21:33;Monday
s3304;00-5965019;Gertrud;Jeavon;Female;48;Tajikistan;3/14/2008;4;PC;06:02;Monday
s5101;00-5992394;Gordie;Mariaud;Male;59;Maldives;5/29/2011;4;Tablet;11:05;Sunday
s3802;00-5993032;Corrinne;Very;Male;59;Kazakhstan;6/21/2005;3;Mobile;23:02;Monday
s107;00-6077710;Frank;Sikorsky;Male;36;Grenada;8.01.2007;3;Mobile;08:56;Saturday
s5857;00-6093562;Linoel;Berrecloth;Male;35;Gambia;11.06.2006;5;PC;20:40;Saturday
s1720;00-6114236;Lucias;Sworder;Male;63;Seychelles;10/31/2007;4;Mobile;14:34;Wednesday
s344;00-6163624;Malvina;Mc Grath;Male;27;Bhutan;5/17/2005;2;Tablet;23:17;Saturday
s8477;00-6172539;Joanne;Jacob;Female;30;Seychelles;2.03.2003;;PC;18:01;Saturday
s1940;00-6252646;Yves;Yurivtsev;Male;65;Romania;7/13/2019;1;Tablet;00:47;Friday
s2998;00-6338870;Curtice;Kidgell;Female;35;Jordan;3/18/2018;3;PC;14:46;Friday
s442;00-6371948;Ruby;O'Duilleain;Female;30;Ukraine;9.07.2008;5;Tablet;18:42;Thursday
s12;00-6420231;Joseito;Walaron;Male;24;Monaco;11.02.2006;;Tablet;21:28;Saturday
s1756;00-6460144;Helli;Hothersall;Male;37;Brunei;6/22/2012;5;Mobile;04:59;Friday
s2668;00-6479395;Aura;Steagall;Male;38;Greece;3/28/2013;3;Mobile;12:38;Monday
s3202;00-6565696;Flory;Ibbitt;Female;40;Equatorial Guinea;8/13/2009;5;Tablet;11:37;Thursday
s5991;00-6609229;Leontine;Rammell;Female;74;Gabon;11.10.2001;4;PC;06:37;Tuesday
s5983;00-6666091;Carly;Everall;Female;63;Malaysia;1.11.2004;3;Tablet;13:53;Sunday
s7850;00-6675478;Reginald;Gosker;Female;72;Ecuador;10/17/2020;5;Mobile;15:36;Monday
s7802;00-6722855;Kimmi;Moff;Male;70;Turkmenistan;4.04.2001;5;Mobile;21:50;Wednesday
s4567;00-6768311;Adina;Marcq;Female;76;North Korea;12/18/2007;;TV;15:08;Tuesday
s494;00-6790860;Enrica;Cohalan;Female;52;Spain;4/26/2009;5;TV;13:27;Thursday
s5805;00-6792940;Valera;Hannent;Male;22;Singapore;5/29/2017;4;TV;03:40;Tuesday
s7094;00-6797967;Albrecht;Geffinger;Female;19;South Korea;11/19/2018;3;TV;12:02;Monday
s3940;00-6804149;Orsa;Pafford;Male;34;Chile;12/21/2001;1;TV;21:20;Saturday
s7781;00-6902222;Pall;Snedker;Male;44;Afghanistan;10.04.2009;1;Tablet;18:07;Monday
s5957;00-6974128;Eilis;Byford;Male;78;Ireland;11.04.2014;;Mobile;12:10;Sunday
s2890;00-7012064;Maridel;Canario;Non-Conforming;64;Lesotho;8/18/2018;4;Tablet;22:14;Thursday
s4118;00-7043366;Mellie;Hariot;Female;46;Portugal;2.06.2013;5;TV;15:44;Monday
s2047;00-7080550;Stefan;Orht;Male;55;United States;4.04.2018;3;PC;06:01;Sunday
s1662;00-7080839;Bertie;La Batie;Male;48;Nepal;6.12.2016;2;PC;07:37;Monday
s5985;00-7102476;Cammy;Bleakman;Male;44;Vanuatu;5.06.2003;;TV;06:41;Tuesday
s5328;00-7374971;Theodor;Perot;Male;52;Papua New Guinea;6/13/2009;3;TV;13:46;Wednesday
s8653;00-7494159;Lu;Larive;Female;48;Sweden;5/31/2004;3;Tablet;12:48;Thursday
s4774;00-7507889;Marietta;Marieton;Male;19;Bahamas;7/31/2008;1;Tablet;20:53;Thursday
s1418;00-7598768;Monte;How to preserve;Female;64;Slovakia;10/16/2016;3;Mobile;13:21;Thursday
s8449;00-7685590;Emanuele;Scotts;Non-Conforming;49;Dominican Republic;8/26/2019;2;Mobile;21:06;Saturday
s2995;00-7693501;Kiley;Ricci;Female;29;Papua New Guinea;8.03.2003;1;PC;16:50;Monday
s821;00-7726076;Pavel;Corsor;Female;39;Russia;2.02.2017;5;TV;22:27;Wednesday
s8546;00-7766529;Nikaniki;Nurdin;Male;45;Japan;6/29/2019;;PC;04:50;Thursday
s6584;00-7800396;Siward;Phelipeaux;Male;25;Solomon Islands;2.09.2003;;Tablet;19:46;Friday
s4352;00-7802037;Kaylee;Lambdin;Female;60;Turkmenistan;3.09.2003;2;PC;17:16;Friday
s712;00-7925080;Chrisy;Risen;Female;40;Bangladesh;2.03.2011;3;PC;01:12;Tuesday
s7252;00-8010185;Tab;Lissemore;Female;52;Mozambique;12.03.2005;4;TV;06:27;Wednesday
s7353;00-8113601;Rem;Hassey;Male;28;Vanuatu;5/29/2008;4;PC;03:20;Wednesday
s4903;00-8203294;Brianna;Dudin;Female;38;India;12/18/2017;4;PC;22:18;Thursday
s7438;00-8230593;Sheppard;Klosges;Male;73;Tajikistan;8/22/2010;;Mobile;13:08;Saturday
s3685;00-8250034;Karlen;Duckworth;Male;68;Russia;5/19/2010;;TV;11:00;Thursday
s4385;00-8270076;Raphaela;Clowney;Male;49;United States;3.06.2010;4;PC;06:45;Friday
s2712;00-8302867;Idalia;Sherborne;Female;20;India;7.07.2016;2;TV;21:25;Friday
s5544;00-8320940;Terence;MacConnechie;Male;30;Botswana;8.11.2004;5;Tablet;21:59;Sunday
s4633;00-8429312;Shane;Ousbie;Male;58;Croatia;7.04.2005;;Tablet;14:06;Sunday
s5229;00-8477498;Cammi;Yakebovitch;Male;46;Comoros;1.04.2004;5;PC;16:09;Friday
s21;00-8477624;Tomkin;Di Ruggiero;Male;49;Burkina Faso;2/18/2010;4;PC;19:20;Thursday
s99;00-8527252;Leanor;Gemnett;Male;67;North Korea;7/20/2013;;TV;21:50;Friday
s1517;00-8536569;Sterling;Prue;Female;50;Botswana;3/22/2004;3;Mobile;12:27;Friday
s1485;00-8541630;Loydie;Platts;Male;39;Guinea-Bissau;6.07.2012;;Mobile;03:09;Friday
s7826;00-8542295;Darius;Birchenough;Male;32;Norway;2/16/2018;3;Tablet;20:32;Friday
s76;00-8571626;Jenn;Whitecross;Male;64;Cyprus;1.11.2010;3;Tablet;03:47;Tuesday
s296;00-8586665;Glenna;Owbrick;Male;30;Papua New Guinea;7.07.2011;3;Mobile;08:51;Saturday
s311;00-8679134;Lindy;Colliver;Female;33;Liechtenstein;1/28/2003;;PC;01:43;Thursday
s7516;00-8679430;Lorianna;Mitten;Female;19;Morocco;2.10.2001;4;TV;03:19;Thursday
s8712;00-8679766;Modesty;O'Spellissey;Female;72;Israel;10/15/2009;3;TV;13:07;Saturday
s7402;00-8704487;Lorain;Kibbe;Female;30;Georgia;7/27/2015;3;Tablet;21:35;Sunday
s1578;00-8712138;Gabie;Lawleff;Female;68;Cabo Verde;5.10.2004;2;PC;20:50;Tuesday
s1679;00-8719634;Melanie;Rylands;Male;60;Namibia;11/17/2016;5;Tablet;03:06;Sunday
s361;00-8734191;Timothea;Summergill;Female;53;Barbados;8/27/2004;;TV;04:50;Sunday
s5568;00-8772885;Thorn;Kidston;Male;33;Germany;11/22/2017;2;Mobile;02:01;Monday
s7030;00-8823459;Irvine;Shillinglaw;Male;60;Equatorial Guinea;9/30/2001;;PC;09:40;Thursday
s1747;00-8842682;Lissi;Copcote;Female;69;Cyprus;8.05.2016;5;Tablet;01:51;Sunday
s6583;00-8912428;Brana;Gwin;Male;58;Lesotho;7/15/2019;4;PC;19:05;Friday
s5180;00-8960230;Mohandis;Piecha;Female;65;Burkina Faso;5.04.2007;4;Tablet;07:44;Monday
s5464;00-9028931;Caressa;Van Leeuwen;Female;52;Trinidad and Tobago;12.02.2018;5;TV;07:53;Friday
s3333;00-9061522;Garrard;Oakenfull;Male;50;Maldives;10.01.2020;;Tablet;20:46;Sunday
s52;00-9089278;Chrissy;Zamudio;Male;43;Nepal;2/22/2006;5;TV;03:31;Friday
s5828;00-9125378;Rosie;Denyakin;Female;50;Bahrain;6/30/2020;3;PC;20:18;Saturday
s5261;00-9129949;Margery;Darbyshire;Non-Conforming;25;Afghanistan;4/20/2015;1;Mobile;10:59;Saturday
s1535;00-9148951;Sybilla;Oleszkiewicz;Female;58;Bangladesh;9.03.2012;3;Mobile;09:05;Monday
s6809;00-9220924;Chrysler;Brekonridge;Male;46;Equatorial Guinea;9/29/2004;5;Mobile;14:43;Tuesday
s549;00-9244844;Roselin;Warke;Female;52;Tuvalu;3/31/2009;3;Mobile;13:22;Wednesday
s6098;00-9248315;Lettie;Shute;Female;23;Taiwan;5/18/2012;5;Mobile;14:27;Thursday
s541;00-9256735;Alphonse;Horsewood;Female;44;Latvia;9/16/2001;5;TV;07:18;Wednesday
s7141;00-9261338;Sharline;Andrzej;Male;32;Belize;5/19/2009;5;Tablet;20:57;Wednesday
s8503;00-9351773;Liesa;Melling;Female;44;Barbados;10/30/2008;3;PC;22:24;Wednesday
s3607;00-9358294;Dale;Whitland;Male;48;Mali;8.03.2005;3;TV;16:50;Monday
s8798;00-9378033;Mechelle;Waggatt;Female;55;Italy;3/14/2016;;Mobile;15:11;Friday
s6537;00-9436631;Curr;De Biasi;Female;25;Grenada;9.06.2008;3;TV;14:53;Thursday
s3104;00-9445290;Audra;Burdus;Male;50;Dominican Republic;1/21/2010;4;Tablet;23:59;Friday
s503;00-9477913;Merlina;Laing;Female;51;Belarus;1/27/2009;2;PC;19:33;Thursday
s5097;00-9519379;Lorianna;Hayley;Male;56;Brunei;10.01.2012;3;Tablet;10:39;Monday
s2030;00-9624016;Carina;Finan;Female;49;Czech Republic;10.07.2015;;PC;11:11;Monday
s5916;00-9627775;Nana;Grimme;Male;46;Serbia;9.02.2018;4;Mobile;14:46;Tuesday
s3322;00-9700945;Zora;Peller;Male;63;Bulgaria;8.02.2012;2;PC;04:42;Wednesday
s6155;00-9731481;Kelbee;Noni;Female;27;Sierra Leone;6.03.2020;5;Tablet;07:36;Friday
s5318;00-9763187;Amandy;Lafferty;Male;42;China;1/28/2017;1;Tablet;23:22;Sunday
s4436;00-9782513;Kerianne;Bault;Female;54;El Salvador;7.08.2003;4;TV;00:24;Friday
s3951;00-9792606;Kalle;Minchindon;Male;31;Saint Lucia;6/30/2002;;Mobile;00:10;Monday
s2322;00-9837994;Adam;Tremoille;Male;66;China;8/20/2007;2;Tablet;20:47;Thursday
s4238;00-9880182;Fan;Lockley;Male;60;Turkmenistan;6/24/2012;4;Mobile;00:06;Sunday
s440;00-9896573;Shae;Avramow;Female;71;Mexico;5/18/2006;4;Mobile;21:09;Thursday
s8629;01-0027092;Jock;Aarons;Female;31;Palau;8.11.2002;4;PC;04:01;Monday
s3713;01-0036386;Dion;Sundin;Female;52;North Korea;10.08.2005;2;PC;02:46;Sunday
s3722;01-0038079;Tierney;Oldknow;Female;27;Mongolia;5/18/2004;3;TV;04:37;Saturday
s3957;01-0074905;Robinson;Le Moucheux;Female;44;Samoa;3/28/2015;3;TV;02:25;Wednesday
s6725;01-0116125;Upton;Bowater;Female;59;Micronesia;1/17/2013;3;Mobile;11:52;Sunday
s6323;01-0169206;Whitney;Garred;Female;40;United Kingdom;6.02.2017;3;Mobile;15:55;Wednesday
s4083;01-0204393;Josephine;Marriot;Female;44;Colombia;3/19/2011;4;PC;22:31;Sunday
s3431;01-0280611;Larine;Dreakin;Male;67;Dominican Republic;1/18/2003;5;TV;03:26;Tuesday
s5499;01-0348994;Wainwright;Osban;Male;44;Sao Tome and Principe;11/14/2001;5;Tablet;17:46;Saturday
s3707;01-0364885;Orella;Brim;Male;65;South Africa;11/25/2019;5;TV;04:12;Sunday
s7283;01-0373372;Aldus;Sturr;Male;56;France;3.08.2020;;PC;04:05;Tuesday
s2149;01-0381181;Merv;Weiss;Female;44;Angola;8/29/2003;1;TV;20:19;Friday
s2511;01-0417194;Nissy;Reskelly;Male;42;Barbados;1/13/2017;5;TV;08:44;Wednesday
s8345;01-0502994;Jaynell;Hunnybun;Female;21;Greece;2.10.2004;3;Mobile;19:56;Monday
s4957;01-0506260;Ives;Phette;Male;24;Portugal;9/18/2015;3;TV;16:58;Thursday
s4939;01-0551724;Moina;Gabby;Male;45;Egypt;12.03.2016;;Tablet;02:01;Saturday
s2260;01-0586118;Barry;Bryns;Female;70;Sri Lanka;2/22/2012;1;Tablet;01:35;Thursday
s2010;01-0600294;Susanna;Bushell;Male;61;Vietnam;8/14/2015;5;TV;21:22;Sunday
s3280;01-0641203;Forrester;Dadge;Female;66;Albania;9/20/2013;5;Mobile;23:07;Tuesday
s1288;01-0645501;Shanon;Fonzone;Male;41;Mali;1/24/2005;4;Mobile;02:42;Monday
s732;01-0663336;Elisabet;Allchorne;Male;24;Slovenia;4/13/2002;;PC;20:41;Sunday
s2165;01-0692047;Yorgo;Pywell;Male;60;Nicaragua;9/13/2002;4;Mobile;13:01;Saturday
s2484;01-0708619;Calvin;Tudor;Female;25;Belize;5/24/2013;1;Mobile;09:02;Thursday
s2617;01-0770833;Louise;Spottiswoode;Male;32;Central African Republic;5/14/2019;4;Tablet;17:59;Tuesday
s5748;01-0807331;Gene;Renals;Female;28;Iraq;11/30/2016;4;PC;04:40;Saturday
s6147;01-0892737;Noni;Stuttard;Male;73;Uganda;12.10.2006;5;Mobile;17:57;Thursday
s1684;01-0896141;Richmound;Aust;Male;36;Poland;7.12.2011;5;Tablet;08:55;Monday
s7561;01-0957306;Thelma;Nanson;Male;23;Afghanistan;11/18/2012;5;Tablet;09:21;Friday
s8744;01-1097895;Sayer;Balcock;Female;40;El Salvador;8.02.2002;3;TV;17:40;Sunday
s7683;01-1147276;Philis;Bayne;Male;40;Malaysia;9/14/2014;3;PC;09:33;Friday
s4344;01-1215079;Maribelle;Shankster;Male;58;Nigeria;10.10.2012;4;PC;22:57;Friday
s3645;01-1228565;Otho;Lernihan;Male;59;Saint Kitts and Nevis;11.06.2000;1;Tablet;15:01;Monday
s1783;01-1253052;Dena;Kob;Male;55;Iran;10.09.2002;3;Tablet;21:16;Monday
s273;01-1268137;Loreen;Bewicke;Female;23;Solomon Islands;10.03.2009;4;TV;11:23;Thursday
s4448;01-1280118;Tannie;Dillamore;Female;70;Jamaica;8/27/2002;3;Mobile;11:21;Thursday
s2651;01-1409605;Cayla;Hubbis;Female;24;Ethiopia;11/19/2015;4;PC;14:11;Wednesday
s769;01-1414652;Cleavland;Dodridge;Male;30;Sweden;2.08.2011;3;Mobile;17:31;Tuesday
s1503;01-1504920;Leyla;Stiell;Female;40;China;1.10.2010;4;TV;07:37;Tuesday
s6937;01-1531866;Brier;Mansel;Male;30;Singapore;1.02.2004;3;TV;13:12;Tuesday
